Membership No  Date Joined  Active  
    18572      2015-9-8     yes   
    25950      2016-6-23    no    
    77383      2019-4-2     no    
    55095      2015-6-4     no    
    84661      2020-8-23    yes   
    77896      2015-4-8     no    
    89237      2016-2-12    yes   
    90292      2015-1-13    no    
    74927      2015-3-5     no    
    90416      2019-11-23   yes   
    27346      2017-5-2     no    
    49755      2017-3-20    no    
    69387      2019-11-16   no    
    75930      2015-5-5     no    
    24242      2017-3-1     yes   
    59091      2018-1-12    yes   
    81181      2019-4-22    no    
    34187      2020-12-2    no    
    19372      2015-3-14    yes   
    10285      2020-4-24    yes   
